id,category,question,answer,business_type,monthly_income,monthly_expense,profit,profit_margin,date,network,location,risk_level
580,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,Trader,,3794.0,0.0,30.0,2026-01-05,Telecel,Kumasi,High
581,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Pharmacy,7263.0,,,30.0,2026-01-05,,Tamale,Low
582,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,15956.0,11676.0,4280.0,26.8,2026-01-05,MTN,Kumasi,High
583,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,,2000.0,-500.0,,2026-01-05,Telecel,Kumasi,Medium
584,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,,,300.0,,2026-01-05,Telecel,Wa,Low
585,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,300.0,25.0,2026-01-15,MTN,Wa,Low
586,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,,2500.0,-500.0,25.0,2026-01-15,MTN,Takoradi,High
587,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,,,,2026-01-05,AirtelTigo,Takoradi,Low
588,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,7107.0,,,30.0,2026-01-15,MTN,Ho,
589,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Trader,5000.0,2983.0,2017.0,25.0,,Telecel,Ho,
590,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,29660.0,2000.0,300.0,1.0,,MTN,Kumasi,
591,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Trader,,,,25.0,2026-01-05,MTN,Takoradi,
592,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Salon,,7929.0,,,2026-01-05,MTN,Sunyani,Low
593,Profit Margin,Daily savings,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,23791.0,-500.0,30.0,2026-01-05,MTN,Kumasi,Low
594,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,13763.0,9092.0,4671.0,33.9,2026-01-13,,Cape Coast,Medium
595,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Pharmacy,6340.0,2500.0,-500.0,25.0,,MTN,Ho,Low
596,Budgeting,How to reduce expenses?,,Salon,,2000.0,0.0,30.0,,MTN,Tamale,Low
597,Budgeting,proffit margin,,Food Vendor,,15403.0,,30.0,2026-01-05,,Wa,High
598,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,4663.0,,-500.0,30.0,2026-01-13,MTN,Accra,Medium
599,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Boutique,,,0.0,30.0,2026-01-13,Telecel,,Low
600,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,,,30.0,2026-01-05,AirtelTigo,Tamale,Medium
601,Savings,How can I save money?,,Restaurant,,2500.0,-500.0,,2026-01-05,MTN,Tamale,Low
602,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,,300.0,6.0,,Telecel,Accra,Medium
603,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Retail Shop,,,0.0,,,Telecel,Kumasi,Low
604,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,,-500.0,30.0,2026-01-15,Telecel,Bolgatanga,High
605,Profit Margin,proffit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,,2500.0,0.0,25.0,,MTN,Kumasi,
606,Savings,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,5000.0,2000.0,300.0,30.0,2026-01-05,Telecel,,Medium
607,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Boutique,,2500.0,300.0,,2026-01-05,,Sunyani,
608,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,2500.0,0.0,30.0,2026-01-05,,Wa,Medium
609,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Retail Shop,,,300.0,,2026-01-05,,Sunyani,High
610,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,General,,,,,,MTN,Bolgatanga,
611,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,,2500.0,-500.0,,2026-01-05,Telecel,Takoradi,
612,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,2000.0,300.0,25.0,2026-01-05,MTN,Ho,Low
613,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,,,-500.0,30.0,2026-01-05,,Wa,Medium
614,Profit Margin,Budget tips,,Pharmacy,,10673.0,,25.0,,AirtelTigo,Bolgatanga,Low
615,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Trader,5951.0,6963.0,-1012.0,-17.0,2026-01-15,,,Medium
616,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,,,-500.0,30.0,2026-01-05,Telecel,,High
617,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,,25.0,2026-01-05,AirtelTigo,Bolgatanga,
618,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2000.0,,30.0,2026-01-13,Telecel,Ho,Medium
619,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Salon,5000.0,,,25.0,2026-01-05,Telecel,Wa,High
620,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,General,28631.0,,,30.0,2026-01-05,Telecel,Sunyani,High
621,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,2500.0,300.0,6.0,2026-01-05,AirtelTigo,Ho,Low
622,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Trader,,2000.0,,30.0,2026-01-05,AirtelTigo,Kumasi,
623,Mobile Money Fraud,proffit margin,,Restaurant,,19089.0,-500.0,,2026-01-05,Telecel,Ho,Low
624,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,,0.0,,2026-01-13,Telecel,Bolgatanga,Medium
625,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,,0.0,25.0,2026-01-15,Telecel,Cape Coast,High
626,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,,,0.0,25.0,2026-01-13,AirtelTigo,Ho,High
627,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,2500.0,0.0,0.0,2026-01-13,AirtelTigo,Accra,High
628,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,17605.0,2000.0,15605.0,30.0,2026-01-05,Telecel,Wa,Low
629,Mobile Money Fraud,Budget tips,,Farmer,18535.0,,300.0,25.0,2026-01-05,,Bolgatanga,High
630,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,,-500.0,25.0,2026-01-13,MTN,Ho,High
631,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,,7816.0,,30.0,2026-01-15,Telecel,Accra,Low
632,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,Bakery,,8394.0,0.0,,2026-01-05,,Wa,Medium
633,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,,2000.0,,30.0,2026-01-05,MTN,Bolgatanga,Low
634,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,2875.0,1285.0,1590.0,55.3,2026-01-13,MTN,Ho,High
635,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Farmer,,,-500.0,30.0,2026-01-15,,Tamale,Low
636,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,2500.0,2500.0,30.0,2026-01-05,MTN,Accra,High
637,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Pharmacy,17284.0,,0.0,0.0,2026-01-13,,,High
638,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,,-500.0,30.0,2026-01-13,Telecel,Wa,Low
639,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Salon,,,,30.0,2026-01-05,,Accra,Medium
640,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,,,0.0,30.0,2026-01-05,MTN,,Low
641,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Trader,,2500.0,,,2026-01-15,,Cape Coast,
642,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,2500.0,-500.0,-10.0,2026-01-05,MTN,Ho,Medium
643,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,8474.0,,300.0,30.0,2026-01-05,Telecel,,Medium
644,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,14786.0,-500.0,-10.0,,,Cape Coast,Low
645,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Bakery,,,300.0,30.0,2026-01-05,,Cape Coast,Low
646,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,2500.0,0.0,25.0,2026-01-05,,Sunyani,Medium
647,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,,,2026-01-05,Telecel,Sunyani,
648,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,,300.0,6.0,2026-01-05,Telecel,Accra,Medium
649,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,,2000.0,300.0,,2026-01-05,,Wa,High
650,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Bakery,5000.0,3473.0,300.0,30.0,,,Bolgatanga,Low
651,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,General,3298.0,2500.0,300.0,9.1,2026-01-13,,Takoradi,High
652,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,6351.0,0.0,0.0,2026-01-05,Telecel,Accra,High
653,Savings,Fake promotion SMS,,Trader,25741.0,9261.0,16480.0,64.0,2026-01-05,,Wa,High
654,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Food Vendor,,,,30.0,2026-01-05,Telecel,Tamale,High
655,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,0.0,25.0,2026-01-13,,Cape Coast,
656,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2500.0,0.0,30.0,2026-01-13,MTN,Cape Coast,
657,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Bakery,18004.0,2500.0,15504.0,86.1,2026-01-05,Telecel,Bolgatanga,High
658,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,,,,2026-01-05,AirtelTigo,Tamale,Medium
659,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,,30.0,2026-01-15,Telecel,Accra,High
660,Profit Margin,budjet help,Track income and expenses. Separate business and personal money.,Boutique,22483.0,2500.0,300.0,25.0,2026-01-13,Telecel,Wa,Low
661,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Bakery,,15914.0,0.0,30.0,2026-01-05,,Tamale,High
662,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Farmer,5000.0,2500.0,300.0,30.0,2026-01-05,MTN,Kumasi,High
663,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Restaurant,11579.0,2500.0,0.0,30.0,2026-01-05,MTN,Takoradi,Low
664,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Boutique,5000.0,2000.0,3000.0,25.0,2026-01-05,,Tamale,High
665,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,,7173.0,,25.0,,,Cape Coast,Low
666,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Bakery,,,,30.0,2026-01-05,MTN,Kumasi,Low
667,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2000.0,300.0,30.0,2026-01-05,Telecel,Kumasi,
668,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Pharmacy,,2000.0,,25.0,2026-01-05,MTN,,Low
669,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Salon,,15221.0,,25.0,2026-01-13,MTN,Ho,
670,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,,,25.0,,Telecel,Wa,Medium
671,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,18840.0,-13840.0,30.0,,Telecel,Takoradi,Medium
672,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,2000.0,3000.0,25.0,2026-01-05,AirtelTigo,Takoradi,Low
673,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2500.0,0.0,30.0,2026-01-05,,Sunyani,Low
674,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,,0.0,30.0,2026-01-13,,Sunyani,
675,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,,-500.0,-10.0,2026-01-13,Telecel,Cape Coast,Low
676,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,,2500.0,300.0,,2026-01-05,AirtelTigo,Tamale,High
677,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,,-500.0,-10.0,2026-01-05,,Accra,High
678,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,,2000.0,-500.0,,2026-01-13,MTN,Accra,High
679,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Trader,,8967.0,,30.0,2026-01-05,,Bolgatanga,High
680,Profit Margin,budjet help,,Bakery,,2000.0,0.0,,2026-01-13,Telecel,Tamale,Medium
681,Profit Margin,Daily savings,,Restaurant,,2000.0,,30.0,2026-01-05,,,High
682,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,10504.0,2500.0,0.0,0.0,2026-01-05,,Sunyani,Low
683,Profit Margin,proffit margin,Profit Margin=(Profit/Revenue)*100,Farmer,,2000.0,0.0,30.0,2026-01-05,MTN,Wa,High
684,Profit Margin,Budget tips,,Retail Shop,,,-500.0,25.0,2026-01-13,,Bolgatanga,Low
685,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,1580.0,0.0,30.0,2026-01-05,AirtelTigo,,High
686,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,2000.0,3000.0,30.0,2026-01-05,MTN,Bolgatanga,Low
687,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Trader,,2000.0,0.0,30.0,2026-01-13,,Accra,
688,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,0.0,,,,Sunyani,
689,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,General,,2500.0,300.0,,2026-01-05,Telecel,Bolgatanga,Low
690,Budgeting,Susu advice,,Retail Shop,5000.0,,-500.0,30.0,2026-01-05,Telecel,Tamale,High
691,Profit Margin,Calculate profit margin,,Retail Shop,,,300.0,,2026-01-05,MTN,Cape Coast,
692,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Trader,5000.0,,0.0,30.0,2026-01-15,AirtelTigo,Ho,Low
693,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2500.0,0.0,0.0,,Telecel,Kumasi,Low
694,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Salon,27567.0,,0.0,0.0,,Telecel,Tamale,Medium
695,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,General,5000.0,2500.0,-500.0,-10.0,2026-01-05,Telecel,Sunyani,Low
696,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,,,300.0,25.0,2026-01-05,MTN,Bolgatanga,
697,Profit Margin,How to compute margin?,,Pharmacy,5000.0,,0.0,30.0,2026-01-13,MTN,Kumasi,
698,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Pharmacy,21756.0,2500.0,-500.0,-2.3,2026-01-05,AirtelTigo,Kumasi,High
699,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Food Vendor,17280.0,1854.0,15426.0,89.3,2026-01-13,MTN,Cape Coast,High
700,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,16180.0,-11180.0,-223.6,2026-01-05,AirtelTigo,Cape Coast,High
701,Mobile Money Fraud,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Farmer,8831.0,10202.0,-1371.0,-15.5,2026-01-05,Telecel,Kumasi,Low
702,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Bakery,5000.0,2500.0,300.0,6.0,2026-01-05,MTN,Cape Coast,Low
703,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,15610.0,0.0,0.0,2026-01-05,AirtelTigo,Accra,High
704,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,,0.0,0.0,,Telecel,Sunyani,Low
705,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,,-500.0,-10.0,2026-01-15,Telecel,Tamale,Low
706,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,4880.0,,-500.0,25.0,,Telecel,Takoradi,Low
707,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,599.0,-500.0,30.0,2026-01-13,AirtelTigo,Takoradi,High
708,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Pharmacy,8912.0,2500.0,6412.0,30.0,2026-01-05,,Bolgatanga,High
709,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,General,,2000.0,0.0,25.0,2026-01-05,Telecel,Wa,Low
710,Budgeting,Scammer called me,,Farmer,,,-500.0,,2026-01-05,,Cape Coast,High
711,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Pharmacy,5000.0,2000.0,3000.0,30.0,,,Tamale,High
712,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Trader,5000.0,2500.0,0.0,25.0,2026-01-13,MTN,Tamale,
713,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,,300.0,6.0,2026-01-05,MTN,Kumasi,Low
714,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Salon,,24099.0,300.0,30.0,2026-01-05,AirtelTigo,Accra,Medium
715,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Trader,,2500.0,,30.0,2026-01-05,,Takoradi,Low
716,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Retail Shop,,,,25.0,2026-01-15,,Sunyani,Medium
717,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,,,300.0,,2026-01-15,Telecel,,Medium
718,Savings,How do I create a business budget?,Track income and expenses. Separate business and personal money.,General,5000.0,,,30.0,,MTN,Bolgatanga,Medium
719,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,2000.0,3000.0,25.0,2026-01-05,Telecel,Tamale,Low
720,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Farmer,5000.0,2500.0,-500.0,30.0,2026-01-05,Telecel,,
721,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Farmer,18042.0,,300.0,1.7,,MTN,Bolgatanga,Low
722,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,2000.0,300.0,6.0,2026-01-05,Telecel,Kumasi,Low
723,Profit Margin,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,,,0.0,,2026-01-05,Telecel,Bolgatanga,Medium
724,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,,2000.0,,,2026-01-05,Telecel,Tamale,Low
725,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,2000.0,0.0,25.0,2026-01-05,,,High
726,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,18039.0,,-500.0,-2.8,,MTN,Takoradi,Low
727,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,18801.0,,300.0,1.6,2026-01-13,MTN,Wa,High
728,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,General,5000.0,,,30.0,2026-01-13,Telecel,Cape Coast,High
729,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,,,2026-01-05,AirtelTigo,Sunyani,Low
730,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,11010.0,-6010.0,-120.2,2026-01-05,MTN,Tamale,Medium
731,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2500.0,0.0,25.0,2026-01-05,MTN,Tamale,Low
732,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Bakery,,,,,2026-01-05,,Takoradi,High
733,Mobile Money Fraud,How can I save money?,,Bakery,5000.0,2000.0,-500.0,25.0,,MTN,Cape Coast,
734,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Trader,,,300.0,25.0,2026-01-05,MTN,Bolgatanga,
735,Budgeting,Wrong transfer,,Boutique,5000.0,2000.0,-500.0,-10.0,2026-01-05,Telecel,Tamale,Medium
736,Budgeting,momo fraud help,,Restaurant,3921.0,2500.0,-500.0,30.0,2026-01-13,MTN,Ho,Low
737,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,20667.0,24262.0,-3595.0,-17.4,2026-01-13,,Tamale,High
738,Savings,save tips,,Trader,5000.0,,-500.0,-10.0,2026-01-13,MTN,Cape Coast,Low
739,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Salon,4677.0,14672.0,-9995.0,-213.7,2026-01-05,AirtelTigo,Wa,High
740,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,2500.0,0.0,0.0,2026-01-15,,Ho,
741,Budgeting,Profit formula?,,Trader,5000.0,3689.0,-500.0,-10.0,,,,Medium
742,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,12069.0,2000.0,-500.0,25.0,2026-01-05,MTN,Takoradi,Medium
743,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Bakery,,20132.0,300.0,,2026-01-05,MTN,Takoradi,Low
744,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,Pharmacy,23991.0,,300.0,30.0,2026-01-05,MTN,Tamale,Low
745,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2500.0,2500.0,50.0,,,Kumasi,Low
746,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,,,30.0,,Telecel,Kumasi,High
747,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Bakery,,,,,2026-01-05,Telecel,Kumasi,Low
748,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Retail Shop,,,-500.0,30.0,2026-01-05,AirtelTigo,Ho,Low
749,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Farmer,28844.0,,-500.0,-1.7,2026-01-05,Telecel,Takoradi,High
750,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Trader,5000.0,,,,2026-01-13,,Sunyani,Medium
751,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Food Vendor,,9810.0,0.0,25.0,2026-01-15,MTN,Sunyani,High
752,Profit Margin,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,,20926.0,300.0,,2026-01-15,,Kumasi,Low
753,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Bakery,3964.0,2000.0,0.0,0.0,2026-01-05,Telecel,Kumasi,High
754,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,15263.0,-500.0,-10.0,2026-01-05,MTN,Takoradi,Low
755,Mobile Money Fraud,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,,0.0,30.0,2026-01-05,,Kumasi,
756,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,,,,,,Telecel,Bolgatanga,Medium
757,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,19916.0,-14916.0,-298.3,2026-01-05,Telecel,Kumasi,Low
758,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Trader,5000.0,16463.0,-11463.0,30.0,2026-01-05,MTN,Wa,Medium
759,Savings,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,,2500.0,,,2026-01-05,Telecel,,Low
760,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,General,25137.0,2500.0,22637.0,90.1,2026-01-05,AirtelTigo,,High
761,Profit Margin,Daily savings,,Restaurant,5000.0,2500.0,300.0,6.0,2026-01-05,Telecel,Tamale,
762,Budgeting,Fake promotion SMS,,Farmer,5000.0,2000.0,-500.0,30.0,2026-01-05,,Takoradi,High
763,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Retail Shop,22322.0,,-500.0,30.0,2026-01-05,AirtelTigo,Takoradi,High
764,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,,2500.0,0.0,,2026-01-05,Telecel,Kumasi,Low
765,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Boutique,,2500.0,,,2026-01-15,MTN,Sunyani,Low
766,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,,0.0,30.0,2026-01-05,Telecel,Kumasi,Low
767,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,,15397.0,-500.0,30.0,,Telecel,,Low
768,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,2000.0,-500.0,30.0,2026-01-15,MTN,Kumasi,Low
769,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Boutique,1328.0,,,,2026-01-05,Telecel,Takoradi,
770,Mobile Money Fraud,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,5000.0,,-500.0,25.0,2026-01-05,,,Low
771,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,General,5000.0,,,30.0,2026-01-05,MTN,Bolgatanga,Medium
772,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Pharmacy,,11925.0,-500.0,30.0,2026-01-05,Telecel,Wa,Medium
773,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Farmer,5000.0,2000.0,-500.0,-10.0,2026-01-15,Telecel,Tamale,Medium
